Age,year,sex,people
0,1950,M,39673730
5,1950,M,30581430
10,1950,M,29491632
15,1950,M,27805596
20,1950,M,24688584
25,1950,M,21732884
30,1950,M,21548420
35,1950,M,19318900
40,1950,M,16548267
45,1950,M,14961619
50,1950,M,12255505
55,1950,M,10717553
60,1950,M,8000454
65,1950,M,5634931
70,1950,M,2926839
75,1950,M,1402092
80,1950,M,381174
85,1950,M,59660
90,1950,M,9509
95,1950,M,1002
100,1950,M,84
0,1951,M,43675001
5,1951,M,31404724
10,1951,M,29572392
15,1951,M,28258411
20,1951,M,25345058
25,1951,M,22067657
30,1951,M,21617993
35,1951,M,19769308
40,1951,M,16831130
45,1951,M,15099065
50,1951,M,12441577
55,1951,M,10687714
60,1951,M,8085875
65,1951,M,5683337
70,1951,M,3054712
75,1951,M,1436957
80,1951,M,450541
85,1951,M,75360
90,1951,M,9737
95,1951,M,1322
100,1951,M,94
0,1952,M,48172839
5,1952,M,32265211
10,1952,M,29330881
15,1952,M,28420579
20,1952,M,25764087
25,1952,M,22381706
30,1952,M,21358746
35,1952,M,20059708
40,1952,M,17071790
45,1952,M,15023744
50,1952,M,12630740
55,1952,M,10518219
60,1952,M,8146240
65,1952,M,5619506
70,1952,M,3162856
75,1952,M,1412008
80,1952,M,500867
85,1952,M,86915
90,1952,M,11296
95,1952,M,1787
100,1952,M,99
0,1953,M,51584383
5,1953,M,33408326
10,1953,M,29088521
15,1953,M,28497749
20,1953,M,26127255
25,1953,M,22797329
30,1953,M,21040397
35,1953,M,20303124
40,1953,M,17377194
45,1953,M,14917314
50,1953,M,12854799
55,1953,M,10358312
60,1953,M,8214718
65,1953,M,5528375
70,1953,M,3246863
75,1953,M,1360230
80,1953,M,518168
85,1953,M,95195
90,1953,M,13119
95,1953,M,2091
100,1953,M,100
0,1954,M,53298270
5,1954,M,34904238
10,1954,M,29086163
15,1954,M,28567031
20,1954,M,26517641
25,1954,M,23314628
30,1954,M,20887615
35,1954,M,20517123
40,1954,M,17765645
45,1954,M,14927027
50,1954,M,13077273
55,1954,M,10320268
60,1954,M,8279279
65,1954,M,5477208
70,1954,M,3287293
75,1954,M,1311813
80,1954,M,492149
85,1954,M,97300
90,1954,M,13367
95,1954,M,1953
100,1954,M,98
0,1955,M,53627477
5,1955,M,36660031
10,1955,M,29422313
15,1955,M,28621661
20,1955,M,26928698
25,1955,M,23880498
30,1955,M,20984849
35,1955,M,20671575
40,1955,M,18203754
45,1955,M,15105730
50,1955,M,13259822
55,1955,M,10429911
60,1955,M,8326360
65,1955,M,5488217
70,1955,M,3277030
75,1955,M,1274864
80,1955,M,422040
85,1955,M,83872
90,1955,M,9657
95,1955,M,1088
100,1955,M,95
0,1956,M,55309956
5,1956,M,38732544
10,1956,M,29853166
15,1956,M,28362372
20,1956,M,27061167
25,1956,M,24229294
30,1956,M,21052171
35,1956,M,20483299
40,1956,M,18421590
45,1956,M,15216872
50,1956,M,13181589
55,1956,M,10405998
60,1956,M,8200568
65,1956,M,5494247
70,1956,M,3253845
75,1956,M,1352916
80,1956,M,439921
85,1956,M,100699
90,1956,M,11584
95,1956,M,1227
100,1956,M,89
0,1957,M,54479675
5,1957,M,41541905
10,1957,M,30759796
15,1957,M,28243341
20,1957,M,27349085
25,1957,M,24742667
30,1957,M,21445286
35,1957,M,20319776
40,1957,M,18783636
45,1957,M,15541234
50,1957,M,13157040
55,1957,M,10549278
60,1957,M,8083957
65,1957,M,5560638
70,1957,M,3202998
75,1957,M,1414603
80,1957,M,434632
85,1957,M,113765
90,1957,M,14206
95,1957,M,1610
100,1957,M,83
0,1958,M,52485802
5,1958,M,44786273
10,1958,M,32004989
15,1958,M,28228918
20,1958,M,27648002
25,1958,M,25294645
30,1958,M,22016928
35,1958,M,20173740
40,1958,M,19169266
45,1958,M,15974882
50,1958,M,13176917
55,1958,M,10771237
60,1958,M,7983279
65,1958,M,5636067
70,1958,M,3142017
75,1958,M,1429755
80,1958,M,409126
85,1958,M,116641
90,1958,M,16349
95,1958,M,1888
100,1958,M,77
0,1959,M,50726829
5,1959,M,47831505
10,1959,M,33564731
15,1959,M,28349199
20,1959,M,27813335
25,1959,M,25762988
30,1959,M,22592940
35,1959,M,20099275
40,1959,M,19442224
45,1959,M,16405185
50,1959,M,13261504
55,1959,M,10965548
60,1959,M,7926664
65,1959,M,5663741
70,1959,M,3087016
75,1959,M,1378245
80,1959,M,365889
85,1959,M,100834
90,1959,M,15563
95,1959,M,1689
100,1959,M,71
0,1960,M,50115435
5,1960,M,49895138
10,1960,M,35521377
15,1960,M,28667181
20,1960,M,27801040
25,1960,M,26096434
30,1960,M,23082592
35,1960,M,20150071
40,1960,M,19542927
45,1960,M,16777809
50,1960,M,13428915
55,1960,M,11084421
60,1960,M,7936009
65,1960,M,5625923
70,1960,M,3042315
75,1960,M,1268061
80,1960,M,297933
85,1960,M,59576
90,1960,M,8045
95,1960,M,641
100,1960,M,65
0,1961,M,48200263
5,1961,M,51416888
10,1961,M,38163836
15,1961,M,29352453
20,1961,M,27838104
25,1961,M,26493976
30,1961,M,23648970
35,1961,M,20411236
40,1961,M,19556270
45,1961,M,17152926
50,1961,M,13658328
55,1961,M,11133544
60,1961,M,8051500
65,1961,M,5624341
70,1961,M,3153682
75,1961,M,1354238
80,1961,M,361401
85,1961,M,66120
90,1961,M,9965
95,1961,M,867
100,1961,M,61
0,1962,M,49131459
5,1962,M,51287815
10,1962,M,41069021
15,1962,M,30056234
20,1962,M,27628701
25,1962,M,26692928
30,1962,M,24068400
35,1962,M,20717964
40,1962,M,19333585
45,1962,M,17442494
50,1962,M,13899476
55,1962,M,11071621
60,1962,M,8170832
65,1962,M,5541573
70,1962,M,3225761
75,1962,M,1392575
80,1962,M,411890
85,1962,M,69527
90,1962,M,13134
95,1962,M,1328
100,1962,M,58
0,1963,M,52108882
5,1963,M,49745519
10,1963,M,44087691
15,1963,M,30986713
20,1963,M,27382574
25,1963,M,26772884
30,1963,M,24409489
35,1963,M,21095866
40,1963,M,19041054
45,1963,M,17668602
50,1963,M,14175487
55,1963,M,10996351
60,1963,M,8283889
65,1963,M,5443993
70,1963,M,3254850
75,1963,M,1390941
80,1963,M,438412
85,1963,M,72632
90,1963,M,15243
95,1963,M,1672
100,1963,M,56
0,1964,M,55643791
5,1964,M,47750239
10,1964,M,46721579
15,1964,M,32447827
20,1964,M,27388168
25,1964,M,26838953
30,1964,M,24776710
35,1964,M,21570828
40,1964,M,18907846
45,1964,M,17864125
50,1964,M,14518278
55,1964,M,11031003
60,1964,M,8386883
65,1964,M,5402856
70,1964,M,3242135
75,1964,M,1364677
80,1964,M,434018
85,1964,M,73977
90,1964,M,14332
95,1964,M,1613
100,1964,M,56
0,1965,M,58742502
5,1965,M,46558428
10,1965,M,48346691
15,1965,M,34564179
20,1965,M,27797078
25,1965,M,26932384
30,1965,M,25204786
35,1965,M,22133600
40,1965,M,19042264
45,1965,M,18035992
50,1965,M,14930514
55,1965,M,11227480
60,1965,M,8484415
65,1965,M,5440387
70,1965,M,3197261
75,1965,M,1321272
80,1965,M,394604
85,1965,M,64797
90,1965,M,9687
95,1965,M,905
100,1965,M,57
0,1966,M,62972535
5,1966,M,46627542
10,1966,M,48542470
15,1966,M,36931392
20,1966,M,28261506
25,1966,M,26753569
30,1966,M,25392477
35,1966,M,22520541
40,1966,M,19198088
45,1966,M,18012351
50,1966,M,15303846
55,1966,M,11522122
60,1966,M,8622168
65,1966,M,5632303
70,1966,M,3316539
75,1966,M,1455992
80,1966,M,450544
85,1966,M,83704
90,1966,M,10111
95,1966,M,1199
100,1966,M,59
0,1967,M,65780433
5,1967,M,47951416
10,1967,M,47957815
15,1967,M,40086638
20,1967,M,29068931
25,1967,M,26652006
30,1967,M,25683053
35,1967,M,23023849
40,1967,M,19606887
45,1967,M,17964639
50,1967,M,15767718
55,1967,M,11956966
60,1967,M,8779901
65,1967,M,5880745
70,1967,M,3424057
75,1967,M,1596743
80,1967,M,498979
85,1967,M,102319
90,1967,M,11856
95,1967,M,1714
100,1967,M,62
0,1968,M,67399598
5,1968,M,50435832
10,1968,M,46877352
15,1968,M,43481459
20,1968,M,30269085
25,1968,M,26669938
30,1968,M,26004733
35,1968,M,23584647
40,1968,M,20187903
45,1968,M,17935138
50,1968,M,16254926
55,1968,M,12489125
60,1968,M,8982624
65,1968,M,6155234
70,1968,M,3535427
75,1968,M,1728467
80,1968,M,541566
85,1968,M,118787
90,1968,M,14336
95,1968,M,2100
100,1968,M,66
0,1969,M,68441759
5,1969,M,53473581
10,1969,M,46005317
15,1969,M,46240625
20,1969,M,31937303
25,1969,M,26877087
30,1969,M,26253373
35,1969,M,24119131
40,1969,M,20814009
45,1969,M,17996848
50,1969,M,16665884
55,1969,M,13050904
60,1969,M,9258231
65,1969,M,6413781
70,1969,M,3664974
75,1969,M,1833619
80,1969,M,581594
85,1969,M,130095
90,1969,M,15813
95,1969,M,2039
100,1969,M,71
0,1970,M,69402971
5,1970,M,56156481
10,1970,M,46011735
15,1970,M,47856207
20,1970,M,34097031
25,1970,M,27340206
30,1970,M,26390151
35,1970,M,24583779
40,1970,M,21412175
45,1970,M,18203789
50,1970,M,16951540
55,1970,M,13600675
60,1970,M,9621712
65,1970,M,6643389
70,1970,M,3818211
75,1970,M,1908609
80,1970,M,618845
85,1970,M,132770
90,1970,M,13867
95,1970,M,1237
100,1970,M,76
0,1971,M,70505837
5,1971,M,58667104
10,1971,M,46779518
15,1971,M,48299888
20,1971,M,36667002
25,1971,M,27978219
30,1971,M,26397810
