Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,15879264,,,4
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,0101,"Horses, asses, mules and hinnies; live",5,Number of items,73,,,,24160,,1483587,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,010121,"Horses; live, pure-bred breeding animals",5,Number of items,8,,,,3200,,523795,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,010129,"Horses; live, other than pure-bred breeding animals",5,Number of items,65,,,,20960,,959792,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,0103,Swine; live,5,Number of items,5183,,,,321839,,8177028,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,010310,"Swine; live, pure-bred breeding animals",5,Number of items,5183,,,,321839,,8177028,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,0106,"Animals; live, n.e.c. in chapter 01",5,Number of items,873437,,,,24272,,6218649,,,4
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",5,Number of items,18300,,,,11402,,4731748,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,010620,Reptiles; live (including snakes and turtles),5,Number of items,737061,,,,9240,,1407511,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,010649,"Insects; live, other than bees",5,Number of items,110051,,,,121,,47318,,,4
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",5,Number of items,8025,,,,3508,,32072,,,4
H5,2018,2018,2018,2,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,0,,,,0,,536535593,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,0201,Meat of bovine animals; fresh or chilled,8,Weight in kilograms,236112,,,,236112,,4265233,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",8,Weight in kilograms,36652,,,,36652,,723056,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",8,Weight in kilograms,199460,,,,199460,,3542177,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,6679420,,,,6679420,,58904479,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",8,Weight in kilograms,554297,,,,554297,,4712077,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,020230,"Meat; of bovine animals, boneless cuts, frozen",8,Weight in kilograms,6125123,,,,6125123,,54192402,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,0203,"Meat of swine; fresh, chilled or frozen",8,Weight in kilograms,85650339,,,,85650339,,129389578,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,020312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",8,Weight in kilograms,6308,,,,6308,,21424,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",8,Weight in kilograms,8270,,,,8270,,31184,,,0
H5,2018,2018,2018,6,1,1,Import,156,China,CHN,842,USA,USA,,,,,,,,020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",8,Weight in kilograms,29876031,,,,29876031,,52354414,,,0
