,china_tariffs
0,010121
1,010129
2,010130
3,010190
4,010221
5,010229
6,010231
7,010239
8,010290
9,010310
10,010391
11,010392
12,010410
13,010420
14,010511
15,010512
16,010513
17,010514
18,010515
19,010594
20,010599
21,010611
22,010612
23,010613
24,010614
25,010619
26,010620
27,010631
28,010632
29,010633
30,010639
31,010641
32,010649
33,010690
34,020110
35,020120
36,020130
37,020210
38,020220
39,020230
40,020311
41,020312
42,020319
43,020321
44,020322
45,020329
46,020410
47,020421
48,020422
49,020423
50,020430
51,020441
52,020442
53,020443
54,020450
55,020500
56,020610
57,020621
58,020622
59,020629
60,020630
61,020641
62,020649
63,020680
64,020690
65,020711
66,020712
67,020713
68,020714
69,020724
70,020725
71,020726
72,020727
73,020741
74,020742
75,020743
76,020744
77,020745
78,020751
79,020752
80,020753
81,020754
82,020755
83,020760
84,020810
85,020830
86,020840
87,020850
88,020860
89,020890
90,020910
91,020990
92,021011
93,021012
94,021019
95,021020
96,021091
97,021092
98,021093
99,021099
100,030111
101,030119
102,030191
103,030192
104,030193
105,030194
106,030195
107,030199
108,030211
109,030213
110,030214
111,030219
112,030221
113,030222
114,030223
115,030224
116,030229
117,030231
118,030232
119,030233
120,030234
121,030235
122,030236
123,030239
124,030241
125,030242
126,030243
127,030244
128,030245
129,030246
130,030247
131,030249
132,030251
133,030252
134,030253
135,030254
136,030255
137,030256
138,030259
139,030271
140,030272
141,030273
142,030274
143,030279
144,030281
145,030282
146,030283
147,030284
148,030285
149,030289
150,030291
151,030292
152,030299
153,030311
154,030312
155,030313
156,030314
157,030319
158,030323
159,030324
160,030325
161,030326
162,030329
163,030331
164,030332
165,030333
166,030334
167,030339
168,030341
169,030342
170,030343
171,030344
172,030345
173,030346
174,030349
175,030351
176,030353
177,030354
178,030355
179,030356
180,030357
181,030359
182,030363
183,030364
184,030365
185,030366
186,030367
187,030368
188,030381
189,030382
190,030383
191,030384
192,030389
193,030391
194,030392
195,030399
196,030431
197,030432
198,030433
199,030439
200,030441
201,030442
202,030443
203,030444
204,030445
205,030446
206,030447
207,030448
208,030449
209,030451
210,030452
211,030453
212,030454
213,030455
214,030456
215,030457
216,030459
217,030461
218,030462
219,030463
220,030469
221,030472
222,030473
223,030474
224,030475
225,030479
226,030482
227,030483
228,030484
229,030485
230,030486
231,030487
232,030488
233,030489
234,030491
235,030492
236,030493
237,030494
238,030495
239,030496
240,030497
241,030499
242,030510
243,030520
244,030531
245,030532
246,030539
247,030541
248,030542
249,030543
250,030544
251,030549
252,030551
253,030552
254,030553
255,030554
256,030559
257,030561
258,030562
259,030563
260,030564
261,030569
262,030571
263,030572
264,030579
265,030611
266,030612
267,030614
268,030615
269,030616
270,030617
271,030619
272,030631
273,030632
274,030633
275,030634
276,030635
277,030636
278,030639
279,030691
280,030692
281,030693
282,030694
283,030695
284,030699
285,030711
286,030712
287,030719
288,030721
289,030722
290,030729
291,030731
292,030732
293,030739
294,030742
295,030743
296,030749
297,030751
298,030752
299,030759
300,030760
301,030771
302,030772
303,030779
304,030781
305,030782
306,030783
307,030784
308,030787
309,030788
310,030791
311,030792
312,030799
313,030811
314,030812
315,030819
316,030821
317,030822
318,030829
319,030830
320,030890
321,040110
322,040120
323,040140
324,040150
325,040210
326,040221
327,040229
328,040291
329,040299
330,040310
331,040390
332,040410
333,040490
334,040510
335,040520
336,040590
337,040610
338,040620
339,040630
340,040640
341,040690
342,040711
343,040719
344,040721
345,040729
346,040790
347,040811
348,040819
349,040891
350,040899
351,040900
352,041000
353,050100
354,050210
355,050290
356,050400
357,050510
358,050590
359,050610
360,050690
361,050710
362,050790
363,050800
364,051000
365,051110
366,051191
367,051199
368,060110
369,060120
370,060210
371,060220
372,060230
373,060240
374,060290
375,060311
376,060312
377,060313
378,060314
379,060315
380,060319
381,060390
382,060420
383,060490
384,070110
385,070190
386,070200
387,070310
388,070320
389,070390
390,070410
391,070420
392,070490
393,070511
394,070519
395,070521
396,070529
397,070610
398,070690
399,070700
400,070810
401,070820
402,070890
403,070920
404,070930
405,070940
406,070951
407,070959
408,070960
409,070970
410,070991
411,070992
412,070993
413,070999
414,071010
415,071021
416,071022
417,071029
418,071030
419,071040
420,071080
421,071090
422,071120
423,071140
424,071151
425,071159
426,071190
427,071220
428,071231
429,071232
430,071233
431,071239
432,071290
433,071310
434,071320
435,071331
436,071332
437,071333
438,071334
439,071335
440,071339
441,071340
442,071350
443,071360
444,071390
445,071410
446,071420
447,071430
448,071440
449,071450
450,071490
451,080111
452,080112
453,080119
454,080121
455,080122
456,080131
457,080132
458,080211
459,080212
460,080221
461,080222
462,080231
463,080232
464,080241
465,080242
466,080251
467,080252
468,080261
469,080262
470,080270
471,080280
472,080290
473,080310
474,080390
475,080410
476,080420
477,080430
478,080440
479,080450
480,080510
481,080521
482,080522
483,080529
484,080540
485,080550
486,080590
487,080610
488,080620
489,080711
490,080719
491,080720
492,080810
493,080830
494,080840
495,080910
496,080921
497,080929
498,080930
499,080940
500,081010
501,081020
502,081030
503,081040
504,081050
505,081060
506,081070
507,081090
508,081110
509,081120
510,081190
511,081210
512,081290
513,081310
514,081320
515,081330
516,081340
517,081350
518,081400
519,090111
520,090112
521,090121
522,090122
523,090190
524,090210
525,090220
526,090230
527,090240
528,090300
529,090411
530,090412
531,090421
532,090422
533,090510
534,090520
535,090611
536,090619
537,090620
538,090710
539,090720
540,090811
541,090812
542,090821
543,090822
544,090831
545,090832
546,090921
547,090922
548,090931
549,090932
550,090961
551,090962
552,091011
553,091012
554,091020
555,091030
556,091091
557,091099
558,100111
559,100119
560,100191
561,100199
562,100210
563,100290
564,100310
565,100390
566,100410
567,100490
568,100510
569,100590
570,100610
571,100620
572,100630
573,100640
574,100710
575,100790
576,100810
577,100821
578,100829
579,100830
580,100840
581,100850
582,100860
583,100890
584,110100
585,110220
586,110290
587,110311
588,110313
589,110319
590,110320
591,110412
592,110419
593,110422
594,110423
595,110429
596,110430
597,110510
598,110520
599,110610
600,110620
601,110630
602,110710
603,110720
604,110811
605,110812
606,110813
607,110814
608,110819
609,110820
610,110900
611,120110
612,120190
613,120230
614,120241
615,120242
616,120300
617,120400
618,120510
619,120590
620,120600
621,120710
622,120721
623,120729
624,120730
625,120740
626,120750
627,120760
628,120770
629,120791
630,120799
631,120810
632,120890
633,120910
634,120921
635,120922
636,120923
637,120924
638,120925
639,120929
640,120930
641,120991
642,120999
643,121010
644,121020
645,121120
646,121130
647,121140
648,121150
649,121190
650,121221
651,121229
652,121291
653,121292
654,121293
655,121294
656,121299
657,121300
658,121410
659,121490
660,130120
661,130190
662,130211
663,130212
664,130213
665,130214
666,130219
667,130220
668,130231
669,130232
670,130239
671,140110
672,140120
673,140190
674,140420
675,140490
676,150110
677,150120
678,150190
679,150210
680,150290
681,150300
682,150410
683,150420
684,150430
685,150500
686,150600
687,150710
688,150790
689,150810
690,150890
691,150910
692,150990
693,151000
694,151110
695,151190
696,151211
697,151219
698,151221
699,151229
700,151311
701,151319
702,151321
703,151329
704,151411
705,151419
706,151491
707,151499
708,151511
709,151519
710,151521
711,151529
712,151530
713,151550
714,151590
715,151610
716,151620
717,151710
718,151790
719,151800
720,152000
721,152110
722,152190
723,152200
724,160100
725,160210
726,160220
727,160231
728,160232
729,160239
730,160241
731,160242
732,160249
733,160250
734,160290
735,160300
736,160411
737,160412
738,160413
739,160414
740,160415
741,160416
742,160417
743,160418
744,160419
745,160420
746,160431
747,160432
748,160510
749,160521
750,160529
751,160530
752,160540
753,160551
754,160552
755,160553
756,160554
757,160555
758,160556
759,160557
760,160558
761,160559
762,160561
763,160562
764,160563
765,160569
766,170112
767,170113
768,170114
769,170191
770,170199
771,170211
772,170219
773,170220
774,170230
775,170240
776,170250
777,170260
778,170290
779,170310
780,170390
781,170410
782,170490
783,180100
784,180200
785,180310
786,180320
787,180400
788,180500
789,180610
790,180620
791,180631
792,180632
793,180690
794,190110
795,190120
796,190190
797,190211
798,190219
799,190220
800,190230
801,190240
802,190300
803,190410
804,190420
805,190430
806,190490
807,190510
808,190520
809,190531
810,190532
811,190540
812,190590
813,200110
814,200190
815,200210
816,200290
817,200310
818,200390
819,200410
820,200490
821,200510
822,200520
823,200540
824,200551
825,200559
826,200560
827,200570
828,200580
829,200591
830,200599
831,200600
832,200710
833,200791
834,200799
835,200811
836,200819
837,200820
838,200830
839,200840
840,200850
